William Shakespeare, Zkrocení zlé ženy
Molière, Lakomec
Karel Jaromír Erben, Kytice
Karel Havlíček Borovský, Tyrolské elegie
Jan Neruda, Povídky malostranské
Jaroslav Vrchlický, Noc na Karlštejně
George Bernard Shaw, Pygmalion
Franz Kafka, Proměna
Francis Scott Fitzgerald, Velký Gatsby
Erich Maria Remarque, Na západní frontě klid
Gerge Orwell, Farma zvířat
Ray Bradbury, 451 stupňů Fahrenheita
Viktor Dyk, Krysař
Jaroslav Hašek, Osudy dobrého vojáka Švejka za světové války
Karel Čapek, Válka s mloky
Karel Čapek, Bílá nemoc
Ota Pavel, Smrt krásných srnců
Bohumil Hrabal, Ostře sledované vlaky
Ladislav Smoljak a Zdeněk Svěrák, Vyšetřování ztráty třídní knihy
Ladislav Smoljak a Zdeněk Svěrák, Dobytí severního pólu
